   RR1   RR2 SHAMT  WREG    WD    WR   SHE   DIR   RD1   RD2
    0     0     0    0    0000      0    0     0  0000  0000
    0     0     0    1    0059      1    0     0  0000  0000
    0     0     0    2    0048      1    0     0  0000  0000
    0     0     0    3    007B      1    0     0  0000  0000
    0     0     0    4    0035      1    0     0  0000  0000
    1     2     0    0    0000      0    0     0  0059  0048
    3     4     0    0    0000      0    0     0  007B  0035
    1     0     3    2    0000      1    1     1  0059  0000
    3     0     5    4    0000      1    1     0  007B  0000
    1     2     0    0    0000      0    0     0  0059  02C8
    3     4     0    0    0000      0    0     0  007B  0003
    0     0     0    0    0000      0    0     0  0000  0000
